Time (UTC),Conversation ID,Message ID,Sender Name,Message Content,is_follow_up,is_follow_up_unmapped,main_use_case,sub_use_case,classification_reason
03-04-2026 02:26:20,01KN6QEEBC0J8J8FZWG75004DS,01KN8JKD2C4X8A21E4Z5G5CPJC,Guest-10128592,Chính sách mới trong tháng 3,False,False,Tra cứu & cập nhật CS,,Hỏi về chính sách mới theo thời gian
03-04-2026 02:26:38,01KN6QEEBC0J8J8FZWG75004DS,01KN8JKD3TPQ6KHBQFAXRTNVR6,,"Chính sách mới Bộ Tài chính tháng 3?


 Bạn có thể tham khảo thêm thông tin thông qua các link sau: 
- “Kết quả của Quý I/2025 phản ánh rõ sự nỗ...[xem chi tiết](https://mof.gov.vn/tin-tuc-tai-chinh/tin-tuc-su-kien-8/mofucm347816)
- Quy định mới về chính sách thuế và quản lý...[xem chi tiết](https://mof.gov.vn/tin-tuc-tai-chinh/tin-tuc-su-kien-8/quy-dinh-moi-ve-chinh-sach-thue-va-quan-ly-thue-doi-voi-hkd-ca-nhan-kinh-doanh)
- Đảm bảo giảm ít nhất 30% điều kiện kinh doanh...[xem chi tiết](https://mof.gov.vn/tin-tuc-tai-chinh/thoi-su/mofucm344081)
- Bộ Tài chính công bố chức năng nhiệm vụ, cơ...[xem chi tiết](https://mof.gov.vn/tin-tuc-tai-chinh/tin-tuc-su-kien-8/mofucm343641)
- Đối thoại giữa Bộ Tài chính và doanh nghiệp Hàn...[xem chi tiết](https://mof.gov.vn/tin-tuc-tai-chinh/tin-tuc-su-kien-8/doi-thoai-giua-bo-tai-chinh-va-doanh-nghiep-han-quoc-ve-chinh-sach-thue-hai-quan)

Trường hợp còn thắc mắc, vui lòng truy cập mục Gửi câu hỏi tại trang [Hỏi đáp CSTC](https://portal.mof.gov.vn/hoidapcstc) để được các chuyên gia giải đáp chi tiết.",False,False,,,
03-04-2026 03:24:38,01KN6QEEBC0J8J8FZWG75004DS,01KN8NY4MV9M60NCS35N7GSBE7,Guest-10128592,Nhiệm vụ của Bộ Tài Chính,False,False,Thông tin giới thiệu BTC,,Hỏi về chức năng nhiệm vụ Bộ Tài chính
03-04-2026 03:24:49,01KN6QEEBC0J8J8FZWG75004DS,01KN8NY4NMP5K2RBSV5S359934,,"Nhiệm vụ của Bộ Tài chính là thực hiện quản lý nhà nước trong các lĩnh vực tài chính, ngân sách và kinh tế‑xã hội.

**Chức năng, nhiệm vụ**
- Xây dựng chiến lược, kế hoạch phát triển kinh tế‑xã hội của quốc gia.  
- Đề ra, thực hiện quy hoạch và đầu tư phát triển, đầu tư kinh doanh trong và ngoài nước, đồng thời xúc tiến đầu tư.  
- Quản lý ngân sách nhà nước, ngân quỹ nhà nước và nợ công; giám sát việc sử dụng và báo cáo ngân sách.  
- Quản lý viện trợ quốc tế (cả nhận và cung cấp) và các nguồn tài chính ngoài ngân sách.  
- Thu thập, quản lý, và giám sát thuế, phí, lệ phí và các khoản thu khác của ngân sách nhà nước.  
- Quản lý dự trữ nhà nước và tài chính đối với các quỹ tài chính nhà nước ngoài ngân sách.  
- Quản lý tài sản công, hải quan, kế toán, kiểm toán, giá, chứng khoán, bảo hiểm và đấu thầu.  
- Giám sát doanh nghiệp nhà nước, doanh nghiệp tư nhân, kinh tế tập thể, kinh tế hợp tác và hộ kinh doanh; phát triển khu kinh tế và dịch vụ tài chính.  
- Thực hiện thống kê kinh tế‑tài chính và các công tác báo cáo, thông tin.  
- Thực hiện chính sách bảo hiểm xã hội, bảo hiểm y tế; đại diện chủ sở hữu đối với vốn nhà nước đầu tư tại doanh nghiệp theo quy định pháp luật.  

Bạn cần tìm hiểu thêm thông tin nào khác về Bộ Tài chính không?",False,False,,,
05-04-2026 15:07:41,01KN6QEEBC0J8J8FZWG75004DS,01KNF2YWQGQ4JFR4M02D8GMP5V,Guest-10128592,"Bộ phận tôi đang triển khai số hóa quy trình, hồ sơ tài chính theo chương trình chuyển đổi số của Nhà nước. Tôi muốn xin ý kiến chuyên môn thì nên nên liên hệ đến đâu",False,False,Thông tin đơn vị trực thuộc,Tình huống nhiệm vụ đơn vị,Tình huống hỏi đơn vị phụ trách chuyển đổi số tài chính
05-04-2026 15:07:53,01KN6QEEBC0J8J8FZWG75004DS,01KNF2YWRBPAZCXPA05YVBFMF3,,"Bạn nên liên hệ với **Cục Công nghệ thông tin và chuyển đổi số** để xin ý kiến chuyên môn về việc số hoá quy trình, hồ sơ tài chính theo chương trình chuyển đổi số của Nhà nước.  

**Thông tin liên hệ**  
- **Địa chỉ:** số 28 phố Trần Hưng Đạo, phường Cửa Nam, thành phố Hà Nội  
- **Điện thoại Cổng thông tin điện tử:** (84‑24) 2220 2828‑2888  
- **Fax:** (84‑24) 2220 8091  
- **Email:** support@mof.gov.vn  
- **Website:** https://www.mof.gov.vn/cong-nghe-thong-tin-va-chuyen-doi-so  

Bạn cần hỗ trợ thêm thông tin nào khác không?",False,False,,,
05-04-2026 15:10:00,01KN6QEEBC0J8J8FZWG75004DS,01KNF3351DDFY8F2C07TADC5S0,Guest-10128592,Tôi đang có vướng mắc trong việc thực hiện chiến lược phát triển kinh tế xã hội tôi cần liên hệ đến đơn vị nào,False,False,Thông tin đơn vị trực thuộc,Tình huống nhiệm vụ đơn vị,Tình huống hỏi đơn vị phụ trách chiến lược phát triển kinh tế
05-04-2026 15:10:13,01KN6QEEBC0J8J8FZWG75004DS,01KNF3352DRCH2GHBFTSVYEKK7,,"Bạn nên liên hệ đến **Vụ Ngân sách nhà nước** để được hỗ trợ giải quyết vướng mắc trong việc thực hiện chiến lược phát triển kinh tế‑xã hội.

**Về việc** vướng mắc trong việc thực hiện chiến lược phát triển kinh tế‑xã hội, bạn vui lòng liên hệ đến **Vụ Ngân sách nhà nước**.

**Thông tin liên hệ**  
- **Địa chỉ:** (không có trong dữ liệu)  
- **Điện thoại:** 024 3971 6632  
- **Giám đốc:** Đinh Trọng Thắng  
- **Website:** https://bo-tai-chinh/btcvn/vu-ngan-sach-nha-nuoc  

Bạn cần thêm thông tin nào khác về Bộ Tài chính không?",False,False,,,
05-04-2026 15:18:04,01KN6QEEBC0J8J8FZWG75004DS,01KNF3HX1Q5CR789732S5K4B7N,Guest-10128592,"Tôi thấy thông người phụ thuộc của mình chưa được cập nhật trên etax và cũng chưa được giảm trừ thuế thu nhập cá nhân, tôi phải làm gì?",False,False,Tình huống TTHC,,Tình huống cá nhân hỏi thủ tục xử lý hồ sơ thuế
05-04-2026 15:18:18,01KN6QEEBC0J8J8FZWG75004DS,01KNF3HX2RA9V8AKPCZ6ABQJJS,,"Người phụ thuộc chưa được cập nhật trên eTax và chưa được giảm trừ thuế TNCN, cần làm gì?


 Bạn có thể tham khảo thêm thông tin thông qua các link sau: 
- Với hỏi đáp chính sách: Câu hỏi - trả lời [153728](https://portal.mof.gov.vn/hoidapcstc/home/cthoidap/153728)
- Với hỏi đáp chính sách: Câu hỏi - trả lời [151951](https://portal.mof.gov.vn/hoidapcstc/home/cthoidap/151951)
- Với hỏi đáp chính sách: Câu hỏi - trả lời [145697](https://portal.mof.gov.vn/hoidapcstc/home/cthoidap/145697)
- Với hỏi đáp chính sách: Câu hỏi - trả lời [152108](https://portal.mof.gov.vn/hoidapcstc/home/cthoidap/152108)
- Với hỏi đáp chính sách: Câu hỏi - trả lời [137909](https://portal.mof.gov.vn/hoidapcstc/home/cthoidap/137909)

Trường hợp còn thắc mắc, vui lòng truy cập mục Gửi câu hỏi tại trang [Hỏi đáp CSTC](https://portal.mof.gov.vn/hoidapcstc) để được các chuyên gia giải đáp chi tiết.",False,False,,,
02-04-2026 09:13:23,01KN6QFDB1C2E349N4XR6SJ842,01KN6QG0RN4TWTQ55QTT27QE9K,Guest-60060487,Giới thiệu về lãnh đạo bộ,False,False,Thông tin lãnh đạo,,Hỏi thông tin lãnh đạo Bộ Tài chính
02-04-2026 09:13:46,01KN6QFDB1C2E349N4XR6SJ842,01KN6QG0SKKKB3Z2T9Y58SK1CW,,"Bộ Tài chính hiện có các lãnh đạo sau:

**Bộ trưởng**  
- **Họ và tên:** Nguyễn Văn Thắng  
- **Ngày sinh:** 12/09/1973  
- **Nơi sinh:** TP. Hà Nội  
- **Học hàm, học vị:** Tiến sĩ kinh tế  
- **Chức vụ:** Bộ trưởng Bộ Tài chính; Bí thư Đảng ủy Bộ Tài chính; Trưởng Ban Bảo vệ chính trị nội bộ; Chủ tịch Hội đồng Thi đua – Khen thưởng – Kỷ luật ngành Tài chính; Chủ tịch Hội đồng quản lý Bảo hiểm xã hội Việt Nam  

**Thứ trưởng**  

1. **Nguyễn Thị Bích Ngọc**  
   - Ngày sinh: 20/06/1971  
   - Nơi sinh: Nghệ An  
   - Học hàm, học vị: Thạc sĩ chính sách công  
   - Chức vụ: Thứ trưởng Bộ Tài chính; Ủy viên Ban Chấp hành Trung ương Đảng khoá XIV; Phó Bí thư thường trực Đảng ủy  

2. **Nguyễn Đức Chi**  
   - Ngày sinh: 09/07/1970  
   - Nơi sinh: TP. Hà Nội  
   - Học hàm, học vị: Thạc sĩ kinh tế  
   - Chức vụ: Thứ trưởng Bộ Tài chính  

3. **Cao Anh Tuấn**  
   - Ngày sinh: 1970  
   - Nơi sinh: TP. Huế  
   - Học hàm, học vị: Tiến sĩ Kinh tế  
   - Chức vụ: Thứ trưởng Bộ Tài chính  

4. **Lê Tấn Cận**  
   - Ngày sinh: 1968  
   - Nơi sinh: Cà Mau  
   - Học hàm, học vị: Thạc sĩ Xây dựng Đảng và chính quyền Nhà nước (Học viện Chính trị, Bộ Quốc phòng); Cử nhân Kinh tế (Đại học Kinh tế TP.Hồ Chí Minh); Cử nhân Chính trị (Học viện Chính trị quốc gia Hồ Chí Minh)  
   - Chức vụ: Thứ trưởng Bộ Tài chính  

5. **Trần Quốc Phương**  
   - Ngày sinh: 03/10/1974  
   - Nơi sinh: TP. Hà Nội  
   - Học hàm, học vị: Thạc sĩ  
   - Chức vụ: Thứ trưởng Bộ Tài chính  

6. **Nguyễn Đức Tâm**  
   - Ngày sinh: 05/01/1981  
   - Nơi sinh: Hưng Yên  
   - Học hàm, học vị: Thạc sĩ kinh tế  
   - Chức vụ: Thứ trưởng Bộ Tài chính  

7. **Tạ Anh Tuấn**  
   - Ngày sinh: 20/06/1969  
   - Nơi sinh: TP. Hà Nội  
   - Học hàm, học vị: Thạc sĩ  
   - Chức vụ: Thứ trưởng Bộ Tài chính  

**Lãnh đạo Cục Thuế (đơn vị trực thuộc Bộ Tài chính)**  

- **Cục trưởng:** Mai Xuân Thành – Điện thoại: 024 39 712 555 – Email: maixuanthanh@gdt.gov.vn  
- **Phó Cục trưởng:** Đặng Ngọc Minh – Điện thoại: 024 39 712 298 – Email: dnminh@gdt.gov.vn  
- **Phó Cục trưởng:** Vũ Chí Hùng – Điện thoại: 024 39 712 555 – Email: vchung@gdt.gov.vn  
- **Phó Cục trưởng:** Mai Sơn – Điện thoại: 024 39 712 555 – Email: maison@gdt.gov.vn  
- **Phó Cục trưởng:** Vũ Mạnh Cường – Điện thoại: 024 39 722 379 – Email: vmcuong@gdt.gov.vn  
- **Phó Cục trưởng:** Lê Long – Điện thoại: 024 39 712 555 – Email: lelong@gdt.gov.vn  

Bạn cần thêm thông tin chi tiết nào về các lãnh đạo trên không?",False,False,,,
02-04-2026 10:15:36,01KN6V1P7FET9XE3H8EWW2FX4E,01KN6V1XK0VTGQ8TJGEZY6N34A,Hi,"Tệp đính kèm
Ke hoach tai chinh - NSNN 3 nam 2026-2028 trinh Quoc hoi - EN.xls
So lieu du toan NSNN nam 2026 trinh Quoc hoi - EN.xls
Du toan NSNN nam 2026 Chinh phu trinh Quoc hoi - EN.docx",False,False,Tra cứu văn bản PL,,Yêu cầu tra cứu văn bản pháp luật liên quan ngân sách nhà nước
02-04-2026 10:15:40,01KN6V1P7FET9XE3H8EWW2FX4E,01KN6V21Q7PYJZVZW5H7J3Y9AQ,Hi,i need file,False,False,Ngoài phạm vi (Từ chối),Công nghệ sử dụng,"Yêu cầu liên quan đến truy cập tệp đính kèm, không thuộc phạm vi hỗ trợ"
02-04-2026 10:15:44,01KN6V1P7FET9XE3H8EWW2FX4E,01KN6V25ZB71X6K9M17NBN61V4,Hi,it is not working,False,False,Phản hồi/Lỗi,,Phản hồi lỗi kỹ thuật khi truy cập tệp đính kèm
02-04-2026 10:15:55,01KN6V1P7FET9XE3H8EWW2FX4E,01KN6V1XKTQSJ94YPVQFJ4HFF9,,"**Kế hoạch tài chính – ngân sách nhà nước 03 năm 2026‑2028**  
Báo cáo “Công khai dự toán ngân sách nhà nước năm 2026 Chính phủ trình Quốc hội” được Bộ Tài chính biên soạn gồm 4 phần, trong đó **Phần III** là “Kế hoạch tài chính – ngân sách nhà nước 03 năm quốc gia 2026‑2028” .

- **Mục tiêu chung**: thực hiện chính sách tài khóa chủ động, mở rộng hợp lý, ưu tiên đầu tư phát triển, giáo dục, khoa học‑công nghệ, an sinh xã hội, đồng thời duy trì an ninh tài chính quốc gia.  
- **Dự toán thu ngân sách**: tổng thu cân đối 8 485 nghìn tỷ đồng trong 3 năm (2026‑2028), tăng khoảng 37 % so với ước thực hiện 2023‑2025; tỷ lệ huy động thu bình quân khoảng 17‑18 % GDP .  
- **Dự toán chi ngân sách**: tổng chi cân đối 10 919 nghìn tỷ đồng trong 3 năm, gấp 1,46 lần so với chi thực hiện 2023‑2025 .  
- **Bội chi và nợ công**: mức bội chi dự kiến khoảng 4,8 % GDP; dự kiến cuối năm 2028 dư nợ công đạt 39‑40 % GDP (dư nợ Chính phủ 35‑36 % GDP) .  
- **Chiến lược phân bổ**: tăng tỷ trọng chi đầu tư phát triển, giảm chi thường xuyên; gắn ngân sách với kết quả thực hiện; đẩy mạnh tiết kiệm, chống lãng phí; áp dụng nguyên tắc thị trường và công nghệ số trong quản lý tài chính .

**Số liệu dự toán ngân sách nhà nước năm 2026 trình Quốc hội**  
Trong báo cáo, **Phần II** trình bày “Dự kiến dự toán ngân sách nhà nước năm 2026”. Nội dung chi tiết chưa được liệt kê hết trong nguồn, nhưng báo cáo đã công bố rằng dự toán thu‑chi năm 2026 sẽ dựa trên các chỉ tiêu đã nêu ở trên và sẽ được trình lên Quốc hội khóa XV, kỳ họp thứ mười để xem xét, quyết định .

Ngoài ra, các cơ quan, đơn vị có cơ chế tài chính đặc thù (trung ương, địa phương) cũng phải lập dự toán thu‑chi năm 2026 theo các nghị quyết của Quốc hội (Nghị quyết 104/2023‑QH15, 142/2024‑QH15, 160/2024‑QH15) và gửi lên cơ quan tài chính cùng cấp để tổng hợp .

---

**Nguồn tham khảo:**

- DỰ TOÁN NGÂN SÁCH NHÀ NƯỚC NĂM 2026 CHÍNH PHỦ...[xem chi tiết](https://mof.gov.vn/tin-tuc-tai-chinh/tin-tuc-su-kien-8/cong-khai-du-toan-nsnn-nam-2026-chinh-phu-trinh-quoc-hoi1)

- Thủ tướng Chính phủ chỉ thị xây dựng kế hoạch...[xem chi tiết](https://thoibaotaichinhvietnam.vn/thu-tuong-chinh-phu-chi-thi-xay-dung-ke-hoach-phat-trien-kinh-te-xa-hoi-va-du-toan-ngan-sach-nha-nuoc-nam-2026-177291.html)

Bạn có muốn biết thêm chi tiết nào về các mục tiêu cụ thể hoặc các khoản mục chi trong kế hoạch tài chính 2026‑2028 không?",False,False,,,
02-04-2026 10:15:55,01KN6V1P7FET9XE3H8EWW2FX4E,01KN6V2602J5TYV3H3F6GQYGYT,,"Xin lỗi, hiện không có đủ thông tin liên quan để trả lời câu hỏi này. Bạn có muốn mình hỗ trợ câu hỏi khác không?",False,False,,,
